Date,Open,High,Low,Close,Adj Close,Volume,Returns
2013-01-03,133.63999938964844,133.97999572753906,133.0399932861328,133.47999572753906,108.29161834716797,1146100,-0.0008986849126167562
2013-01-04,133.6199951171875,134.22000122070312,133.36000061035156,134.0399932861328,108.74588775634766,574300,0.004186590905648832
2013-01-07,133.5399932861328,133.77999877929688,133.13999938964844,133.67999267578125,108.45382690429688,598200,-0.0026893832826257098
2013-01-08,133.44000244140625,133.60000610351562,132.75999450683594,133.27999877929688,108.12933349609375,476100,-0.002996660238352537
2013-01-09,133.5800018310547,133.97999572753906,133.4199981689453,133.67999267578125,108.45382690429688,1214600,0.002996660238352577
2013-01-10,134.4199981689453,134.72000122070312,133.67999267578125,134.66000366210938,109.24893951416016,508050,0.007304280814414237
2013-01-11,134.6999969482422,134.72000122070312,134.25999450683594,134.72000122070312,109.29761505126953,562500,0.00044544924269300984
2013-01-14,134.55999755859375,134.67999267578125,134.10000610351562,134.60000610351562,109.20024108886719,475600,-0.0008910969988446154
2013-01-15,133.9600067138672,134.8000030517578,133.8800048828125,134.66000366210938,109.24893951416016,532350,0.0004456477561517233
2013-01-16,134.3800048828125,134.86000061035156,134.25999450683594,134.66000366210938,109.24893951416016,399400,0.0
2013-01-17,135.25999450683594,135.89999389648438,135.0,135.5,109.93043518066406,605700,0.0062185300073934234
2013-01-18,135.52000427246094,135.9600067138672,135.02000427246094,135.8800048828125,110.23870849609375,2081350,0.0028005389073671606
2013-01-22,135.86000061035156,136.5399932861328,135.52000427246094,136.5399932861328,110.774169921875,1458050,0.004845383591579383
2013-01-23,136.60000610351562,136.89999389648438,136.33999633789062,136.74000549316406,110.93644714355469,812900,0.0014637898392725014
2013-01-24,136.55999755859375,137.4600067138672,136.4600067138672,136.82000732421875,111.0013198852539,1635550,0.0005848942066603078
2013-01-25,137.3000030517578,137.5800018310547,136.89999389648438,137.5800018310547,111.617919921875,613600,0.005539332542251033
2013-01-28,137.63999938964844,137.63999938964844,136.9600067138672,137.4199981689453,111.48810577392578,1188650,-0.0011636631284699292
2013-01-29,137.17999267578125,138.13999938964844,137.10000610351562,137.97999572753906,111.94242858886719,680750,0.004066799875196592
2013-01-30,137.97999572753906,138.1999969482422,137.32000732421875,137.44000244140625,111.50433349609375,754750,-0.003921240154234474
2013-01-31,137.3000030517578,137.6999969482422,137.0,137.1199951171875,111.24469757080078,443950,-0.002331056759685287
2013-02-01,137.97999572753906,138.66000366210938,137.75999450683594,138.44000244140625,112.31563568115234,2253350,0.009580617162572122
2013-02-04,137.67999267578125,137.8800048828125,136.86000061035156,136.9199981689453,111.08245849609375,541400,-0.011040236113452421
2013-02-05,137.72000122070312,138.72000122070312,137.63999938964844,138.32000732421875,112.21827697753906,416600,0.010173094037484315
2013-02-06,137.86000061035156,138.52000427246094,137.77999877929688,138.44000244140625,112.31563568115234,415650,0.0008671420759680978
2013-02-07,138.47999572753906,138.55999755859375,137.25999450683594,138.25999450683594,112.16958618164062,480050,-0.0013011056158286492
2013-02-08,138.52000427246094,139.0800018310547,138.52000427246094,139.02000427246094,112.78619384765625,441050,0.00548190761861003
2013-02-11,139.0,139.10000610351562,138.67999267578125,138.9600067138672,112.73751068115234,288100,-0.00043166815709174067
2013-02-12,139.02000427246094,139.47999572753906,138.86000061035156,139.17999267578125,112.91595458984375,409550,0.0015818365446728495
2013-02-13,139.52000427246094,139.74000549316406,138.9600067138672,139.3000030517578,113.01335144042969,1064700,0.0008618959009413161
2013-02-14,138.94000244140625,139.63999938964844,138.75999450683594,139.5,113.17556762695312,272850,0.0014346985678514218
2013-02-15,139.6199951171875,139.72000122070312,138.77999877929688,139.32000732421875,113.02954864501953,331350,-0.0012911031924272953
2013-02-19,139.5399932861328,140.36000061035156,139.52000427246094,140.27999877929688,113.80841064453125,363800,0.006866918501079997
2013-02-20,140.24000549316406,140.27999877929688,138.5399932861328,138.5399932861328,112.39675903320312,1033200,-0.012481372437194521
2013-02-21,138.1999969482422,138.22000122070312,137.32000732421875,137.8800048828125,111.86127471923828,1410350,-0.004775267070720956
2013-02-22,138.44000244140625,139.0800018310547,138.0800018310547,139.0800018310547,112.8348617553711,1352350,0.008665543242980949
2013-02-25,139.82000732421875,139.97999572753906,136.4600067138672,136.4600067138672,110.70925903320312,1063400,-0.0190177397176044
2013-02-26,137.10000610351562,137.5399932861328,136.22000122070312,137.3800048828125,111.45565032958984,1571400,0.006719263740583077
2013-02-27,137.25999450683594,139.5,137.16000366210938,139.10000610351562,112.85108947753906,783400,0.01244229847989594
2013-02-28,139.10000610351562,139.97999572753906,138.6199951171875,138.94000244140625,112.72124481201172,2426700,-0.0011509399716199402
2013-03-01,138.32000732421875,139.5,137.74000549316406,139.3000030517578,113.01335144042969,1540500,0.0025876998571756175
2013-03-04,139.0,140.0800018310547,138.77999877929688,140.0800018310547,113.64612579345703,536550,0.005583798355520002
2013-03-05,140.75999450683594,141.67999267578125,140.74000549316406,141.27999877929688,114.61967468261719,532500,0.008530027166250021
2013-03-06,141.83999633789062,141.86000061035156,141.22000122070312,141.5399932861328,114.83065795898438,1884400,0.0018385869978829314
2013-03-07,141.74000549316406,141.94000244140625,141.55999755859375,141.8000030517578,115.04153442382812,454300,0.001835320406369278
2013-03-08,142.36000061035156,142.5399932861328,141.67999267578125,142.36000061035156,115.49589538574219,714350,0.003941429309781819
2013-03-11,142.27999877929688,142.9199981689453,142.0800018310547,142.8800048828125,115.91776275634766,360050,0.0036460863730350276
2013-03-12,142.82000732421875,142.9600067138672,142.13999938964844,142.55999755859375,115.65814208984375,489850,-0.002242204705373685
2013-03-13,142.66000366210938,142.97999572753906,142.1999969482422,142.75999450683594,115.8204345703125,456800,0.0014019135466109283
2013-03-14,143.17999267578125,143.6199951171875,143.10000610351562,143.52000427246094,116.43695831298828,670500,0.005309567935938375
2013-03-15,143.39999389648438,143.5800018310547,142.89999389648438,143.32000732421875,116.27473449707031,767850,-0.0013944845388772888
