Date,AAPL,AMD,AMZN,META,MSFT,NVDA,TSLA
2013-01-02 00:00:00+00:00,16.68733787536621,2.5299999713897705,12.865500450134277,27.893449783325195,22.406963348388672,0.2935146391391754,2.357332944869995
2013-01-03 00:00:00+00:00,16.47670555114746,2.490000009536743,12.923999786376953,27.664325714111328,22.10679054260254,0.2937453091144562,2.318000078201294
2013-01-04 00:00:00+00:00,16.017759323120117,2.5899999141693115,12.957500457763672,28.650556564331055,21.69305419921875,0.30343684554100037,2.293333053588867
2013-01-07 00:00:00+00:00,15.92353343963623,2.6700000762939453,13.42300033569336,29.30804443359375,21.65248680114746,0.2946682870388031,2.2893331050872803
2013-01-08 00:00:00+00:00,15.966386795043945,2.6700000762939453,13.319000244140625,28.949413299560547,21.538915634155273,0.28820738196372986,2.245332956314087
2013-01-09 00:00:00+00:00,15.716856002807617,2.630000114440918,13.317500114440918,30.473594665527344,21.660602569580078,0.2817462980747223,2.2426669597625732
2013-01-10 00:00:00+00:00,15.9116792678833,2.619999885559082,13.267000198364258,31.180891036987305,21.46590232849121,0.28220781683921814,2.23533296585083
2013-01-11 00:00:00+00:00,15.814111709594727,2.6700000762939453,13.397000312805176,31.599292755126953,21.766067504882812,0.2817462980747223,2.194000005722046
2013-01-14 00:00:00+00:00,15.250301361083984,2.640000104904175,13.636500358581543,30.832223892211914,21.81474494934082,0.28151553869247437,2.2173330783843994
2013-01-15 00:00:00+00:00,14.769157409667969,2.680000066757202,13.595000267028809,29.985456466674805,22.074344635009766,0.27643901109695435,2.259999990463257
2013-01-16 00:00:00+00:00,15.382208824157715,2.7200000286102295,13.446499824523926,29.736408233642578,21.93643569946289,0.2789773643016815,2.2733330726623535
2013-01-17 00:00:00+00:00,15.278573036193848,2.740000009536743,13.52400016784668,30.02530288696289,22.10679054260254,0.2826693654060364,2.2920000553131104
2013-01-18 00:00:00+00:00,15.197114944458008,2.4600000381469727,13.605999946594238,29.547130584716797,22.10679054260254,0.28082332015037537,2.301332950592041
